x,y,class
6.900,11.500,7
6.850,10.900,7
6.400,10.700,7
5.900,10.300,7
6.400,10.250,7
7.050,10.050,7
7.350,10.500,7
7.650,11.100,7
8.100,11.200,7
8.800,11.400,7
8.300,10.550,7
9.000,10.900,7
9.350,10.500,7
10.150,11.000,4
10.400,10.550,4
10.900,10.000,4
11.550,10.200,4
11.750,10.850,4
10.100,8.650,4
11.050,9.100,4
11.850,9.800,4
12.850,10.650,4
12.900,11.700,4
13.600,11.100,4
14.050,11.750,4
14.500,11.800,4
14.300,12.450,4
17.000,12.900,4
15.800,12.600,4
15.850,12.000,4
16.700,12.200,4
16.250,11.700,4
15.550,11.150,4
14.800,11.350,4
14.450,10.750,4
13.750,10.450,4
12.800,10.100,4
13.150,9.800,4
12.450,9.300,4
11.800,8.950,4
11.100,8.450,4
10.350,7.700,4
10.100,6.750,4
11.300,7.950,4
12.350,8.450,4
13.100,8.950,4
13.200,9.350,4
14.100,10.050,4
11.500,7.500,4
11.350,6.900,4
11.950,6.750,4
12.400,7.100,4
12.250,7.600,4
12.950,7.600,4
13.450,7.950,4
13.350,8.250,4
13.750,9.000,4
14.300,9.300,4
14.850,9.550,4
15.100,10.250,4
15.450,10.550,4
16.350,10.850,4
16.750,11.500,4
16.250,10.200,4
15.400,10.100,4
15.450,9.700,4
15.150,9.300,4
15.250,8.650,4
15.550,8.200,4
14.250,8.700,4
14.250,8.250,4
15.050,7.800,4
14.300,7.500,4
13.550,7.450,4
14.300,6.950,4
13.950,6.700,4
13.050,6.950,4
13.050,6.200,4
11.550,6.300,4
10.800,5.850,4
10.600,5.050,4
11.350,5.550,4
12.150,5.400,4
12.400,5.800,4
12.800,5.700,4
13.650,5.900,4
13.900,5.300,4
13.100,5.100,4
12.550,4.900,4
11.500,4.750,4
11.350,4.050,4
12.400,4.350,4
11.750,3.450,4
12.650,3.700,4
13.400,4.350,4
13.900,4.950,4
12.750,3.000,4
13.550,3.150,4
13.700,3.650,4
14.100,4.100,4
14.650,5.050,4
14.350,5.750,4
14.500,6.550,4
15.150,7.100,4
13.600,2.550,4
14.450,2.400,4
14.600,3.050,4
15.000,3.400,4
15.250,3.500,4
14.700,4.100,4
14.700,4.500,4
15.250,2.700,4
15.650,2.050,4
15.950,2.800,4
16.100,3.550,4
15.900,4.000,4
15.600,4.750,4
15.550,5.050,4
15.350,5.500,4
15.150,5.950,4
15.500,6.750,4
15.700,6.350,4
16.200,5.900,4
16.350,5.350,4
16.200,4.550,4
16.550,4.200,4
16.950,4.750,4
17.050,5.100,4
17.300,4.800,4
17.300,4.150,4
17.600,4.300,4
17.050,3.700,4
17.250,3.050,4
16.650,2.800,4
16.550,2.150,4
17.200,2.050,4
18.150,1.950,4
18.050,2.450,4
18.150,3.050,4
18.600,3.450,4
18.400,3.600,4
18.850,3.200,4
19.100,2.650,4
19.450,2.650,4
19.000,2.100,4
19.900,2.050,4
20.450,2.800,4
19.800,3.250,4
19.450,3.900,4
18.650,4.200,4
18.400,4.600,4
18.650,4.750,4
18.750,5.150,4
19.100,4.550,4
17.900,5.400,4
17.650,5.700,4
17.050,6.050,4
17.400,6.500,4
16.600,6.850,4
15.700,7.150,4
15.750,7.750,4
16.600,7.950,4
20.400,3.400,4
20.700,3.450,4
21.150,2.850,4
21.750,2.650,4
22.000,3.250,4
22.200,3.500,4
21.450,3.750,4
21.100,4.050,4
20.150,4.300,4
20.800,4.700,4
20.700,5.150,4
19.750,5.050,4
19.850,5.500,4
20.400,5.650,4
20.550,5.750,4
18.700,5.750,4
19.250,5.950,4
18.400,6.000,4
18.450,6.600,4
17.650,7.050,4
16.700,7.400,4
18.650,7.300,4
18.050,7.350,4
17.850,7.750,4
17.500,8.250,4
17.150,8.600,4
17.050,9.000,4
16.400,8.700,4
16.050,8.950,4
16.050,9.600,4
16.500,9.750,4
17.250,9.600,4
17.600,9.900,4
17.800,9.300,4
18.000,8.550,4
18.800,8.100,4
18.800,8.350,4
19.400,7.600,4
19.250,6.600,4
20.050,6.950,4
19.800,7.500,4
20.050,6.350,4
21.150,5.700,4
21.650,4.850,4
22.150,4.350,4
23.050,3.350,4
23.050,3.800,4
23.150,4.400,4
22.500,4.750,4
22.150,5.200,4
24.150,4.550,4
23.500,5.050,4
23.100,5.300,4
23.000,5.750,4
22.200,5.750,4
21.850,6.200,4
20.750,6.550,4
21.000,7.150,4
20.750,7.650,4
20.000,8.200,4
19.500,8.650,4
18.850,9.050,4
18.750,9.550,4
18.600,10.000,4
16.950,10.350,4
17.350,10.850,4
18.000,10.650,4
18.500,10.550,4
18.100,11.100,4
17.550,11.300,4
17.950,11.900,4
18.300,12.000,4
18.000,12.500,4
19.000,11.650,4
19.500,11.050,4
19.450,10.550,4
19.400,9.650,4
20.100,9.400,4
20.050,9.950,4
20.050,10.200,4
19.350,12.200,4
19.200,12.250,4
20.050,11.600,4
20.600,11.150,4
20.700,10.650,4
21.300,11.650,4
21.800,11.150,4
21.850,10.700,4
21.650,10.050,4
20.950,10.200,4
20.900,9.700,4
21.650,9.450,4
21.200,9.250,4
20.750,8.750,4
20.550,8.750,4
21.100,8.000,4
21.650,8.650,4
21.750,8.200,4
21.950,7.550,4
22.000,6.750,4
22.800,6.450,4
22.650,6.650,4
22.750,7.050,4
23.000,7.350,4
22.550,7.900,4
22.200,8.700,4
22.900,8.450,4
22.350,9.200,4
22.750,9.350,4
22.400,10.050,4
23.050,10.900,4
23.300,9.850,4
23.950,9.800,4
23.650,9.100,4
23.700,8.850,4
24.250,8.250,4
24.850,7.950,4
23.500,7.850,4
23.850,7.350,4
23.950,6.900,4
23.650,6.500,4
23.600,5.700,4
24.300,5.650,4
24.800,6.400,4
34.050,3.500,3
33.050,3.850,3
32.000,3.800,3
31.900,4.400,3
31.050,4.750,3
30.400,5.650,3
30.750,6.100,3
30.000,6.700,3
30.100,7.400,3
29.500,8.150,3
30.750,8.000,3
30.850,7.350,3
31.500,6.750,3
31.750,5.950,3
32.350,6.450,3
32.800,6.000,3
32.050,5.100,3
32.800,4.800,3
32.650,4.400,3
33.650,4.600,3
33.050,5.150,3
33.600,5.450,3
34.500,5.050,3
34.900,4.650,3
35.450,4.100,3
34.600,4.050,3
34.200,4.200,3
36.300,5.200,3
35.550,5.350,3
35.950,6.050,3
34.800,5.850,3
33.700,6.150,3
33.950,6.600,3
33.700,7.050,3
32.750,7.100,3
32.300,7.650,3
33.000,7.900,3
31.950,8.150,3
31.150,8.650,3
30.350,8.850,3
29.850,9.000,3
30.700,9.150,3
29.700,9.900,3
30.450,9.950,3
30.950,9.850,3
31.800,9.450,3
32.450,8.800,3
33.550,8.600,3
34.350,7.700,3
34.700,8.000,3
34.600,7.250,3
35.000,6.800,3
35.500,7.350,3
36.100,7.500,3
36.550,7.000,3
36.000,8.200,3
35.350,8.050,3
36.550,8.650,3
36.400,9.100,3
35.500,9.100,3
34.550,8.850,3
35.250,9.400,3
34.400,9.500,3
33.500,9.300,3
33.850,9.800,3
32.500,9.650,3
32.300,10.250,3
33.300,10.300,3
31.600,10.500,3
30.600,10.500,3
30.400,11.100,3
30.900,11.450,3
30.700,11.650,3
30.400,12.050,3
31.200,12.000,3
31.950,11.350,3
31.650,11.050,3
32.950,11.150,3
32.650,11.700,3
32.250,12.250,3
32.050,12.250,3
31.300,12.700,3
31.950,12.950,3
32.750,13.100,3
33.150,13.200,3
33.100,12.750,3
33.150,12.100,3
34.300,11.750,3
34.000,10.850,3
34.650,11.000,3
34.800,10.100,3
35.650,9.850,3
36.350,10.000,3
35.550,10.750,3
35.800,11.550,3
35.200,11.750,3
34.700,11.750,3
34.950,12.750,3
34.050,12.550,3
34.050,13.050,3
33.250,13.700,3
33.200,14.150,3
33.250,14.700,6
33.000,15.150,6
32.950,15.650,6
32.600,16.150,6
32.450,16.750,6
32.650,17.050,6
32.750,17.300,6
31.750,17.200,6
31.700,17.650,6
31.000,17.500,6
31.150,17.900,6
30.450,18.050,6
30.050,18.800,6
30.550,18.800,6
30.500,19.300,6
30.250,19.400,6
29.600,19.850,6
29.150,20.550,6
30.250,20.450,6
30.700,20.050,6
31.000,19.900,6
31.550,19.650,6
31.500,18.550,6
32.050,18.600,6
31.950,19.100,6
32.600,18.350,6
32.850,17.950,6
33.450,17.450,6
33.700,17.000,6
34.250,17.350,6
34.300,18.050,6
33.850,18.400,6
33.050,18.850,6
33.250,18.950,6
32.800,19.150,6
32.300,19.850,6
32.800,20.000,6
31.750,20.250,6
31.750,20.750,6
32.100,21.150,6
31.550,21.600,6
30.650,21.300,6
29.950,21.600,6
29.500,21.600,6
30.350,22.050,6
31.050,22.000,6
31.550,22.200,6
30.950,22.650,6
30.300,23.100,6
29.600,23.150,6
29.350,22.550,6
29.200,23.850,6
30.750,24.000,6
30.950,24.150,6
31.450,23.700,6
31.950,23.150,6
32.550,22.050,6
32.600,22.550,6
33.250,22.250,6
33.650,21.900,6
33.500,21.300,6
33.100,20.750,6
33.800,20.400,6
33.850,20.000,6
34.150,19.300,6
34.850,18.850,6
35.300,18.550,6
35.400,19.350,6
34.550,19.750,6
35.050,20.000,6
35.950,19.850,6
36.350,20.600,6
35.500,20.550,6
34.450,20.650,6
34.400,21.250,6
35.000,21.050,6
35.750,21.300,6
35.050,21.500,6
34.600,22.050,6
34.200,21.750,6
36.250,21.950,6
35.700,22.300,6
35.500,22.900,6
35.850,23.250,6
36.300,23.800,6
35.450,24.100,6
34.900,23.500,6
34.200,22.900,6
33.850,23.300,6
33.250,23.350,6
32.450,23.700,6
33.600,23.900,6
34.250,23.950,6
34.250,24.100,6
35.400,24.700,6
35.150,25.300,6
34.400,24.900,6
33.700,24.850,6
32.250,24.450,6
32.500,24.700,6
31.450,24.450,6
31.550,25.200,6
31.050,25.000,6
30.250,24.300,6
29.800,24.800,6
29.600,25.500,6
29.700,26.050,6
30.500,25.500,6
30.650,26.000,6
31.250,26.050,6
31.450,26.950,6
30.750,26.900,6
30.650,27.150,6
31.250,27.850,6
31.850,27.750,6
32.700,28.200,6
33.250,27.550,6
32.400,27.100,6
32.150,26.650,6
32.350,25.950,6
32.950,25.500,6
33.850,26.050,6
33.050,26.500,6
33.650,27.000,6
34.100,27.350,6
34.200,27.950,6
34.650,26.850,6
35.250,26.000,6
35.700,26.150,6
34.400,25.600,6
21.300,20.800,1
20.150,20.900,1
19.200,21.350,1
19.100,21.850,1
18.450,22.800,1
18.750,22.950,1
19.400,23.000,1
19.550,22.250,1
19.800,21.850,1
20.500,21.850,1
21.450,21.450,1
21.700,21.900,1
21.400,22.300,1
21.000,22.600,1
21.150,22.950,1
20.500,22.850,1
19.750,23.650,1
19.200,23.700,1
18.450,24.350,1
20.650,23.850,1
20.650,24.300,1
19.700,24.600,1
20.150,25.050,1
22.150,25.100,1
21.600,24.650,1
21.700,23.800,1
21.900,23.650,1
22.550,23.500,1
22.550,24.300,1
23.300,24.450,1
24.250,24.350,1
23.800,25.250,1
23.400,23.800,1
22.900,23.200,1
22.300,22.800,1
22.200,22.400,1
23.100,21.700,1
22.850,21.900,1
22.650,21.100,1
23.150,22.600,1
24.100,21.900,1
24.700,22.200,1
24.300,22.600,1
24.150,23.300,1
23.900,23.450,1
5.200,2.150,5
6.350,1.950,5
6.750,2.300,5
5.900,2.400,5
5.400,2.700,5
4.850,2.900,5
4.850,3.350,5
5.150,3.450,5
5.700,3.450,5
6.200,3.000,5
6.200,3.200,5
7.650,2.150,5
7.200,2.750,5
6.750,3.200,5
6.750,3.550,5
6.650,3.800,5
5.800,4.000,5
4.950,4.050,5
5.100,4.350,5
5.700,4.450,5
5.450,4.850,5
6.700,4.800,5
6.550,5.050,5
7.200,4.900,5
6.200,4.250,5
7.100,4.300,5
7.850,4.500,5
7.600,4.150,5
7.250,3.550,5
7.800,3.350,5
8.050,2.750,5
8.500,3.250,5
8.100,3.550,5
8.150,4.000,5
